produit,quantite,prix_unitaire,prix_total,categorie,date,enseigne,fichier,nom_simplifié
Salade F.exo,2.0,7.49,14.98,Surgelés,2025-12-15,Picard,feff0f66-d640-436c-8b13-43c745287aff.pdf,Salade exotique (surgelée)
Lég wok 600g,2.0,2.8,5.6,Surgelés,2025-12-15,Picard,feff0f66-d640-436c-8b13-43c745287aff.pdf,Légumes wok (surgelé)
Julienne s/résidu,2.0,2.25,4.5,Surgelés,2025-12-15,Picard,feff0f66-d640-436c-8b13-43c745287aff.pdf,Julienne (surgelée)
Légume basqu,2.0,5.99,11.98,Surgelés,2025-12-15,Picard,feff0f66-d640-436c-8b13-43c745287aff.pdf,Légumes wok (surgelé)
CN LUNGO N6 CAPS 30X,1.0,9.39,9.39,,2026-02-05,Intermarché,1122e654-270b-47d7-997a-047f8e71f47c.pdf,Capsules café x30
OEUF NICEUF PAIR X6,1.0,1.53,1.53,,2026-02-05,Intermarché,1122e654-270b-47d7-997a-047f8e71f47c.pdf,Œufs x6
OEUF NICEUF PAIR X6,1.0,1.53,1.53,,2026-02-05,Intermarché,1122e654-270b-47d7-997a-047f8e71f47c.pdf,Œufs x6
OEUF NICEUF PAIR X6,1.0,1.53,1.53,,2026-02-05,Intermarché,1122e654-270b-47d7-997a-047f8e71f47c.pdf,Œufs x6
OEUF NICEUF PAIR X6,1.0,1.53,1.53,,2026-02-05,Intermarché,1122e654-270b-47d7-997a-047f8e71f47c.pdf,Œufs x6
TIPIAK COUSCOUS EP.M,1.0,2.22,2.22,,2026-02-05,Intermarché,1122e654-270b-47d7-997a-047f8e71f47c.pdf,Couscous
TIPIAK COUSCOUS EP.D,1.0,2.35,2.35,,2026-02-05,Intermarché,1122e654-270b-47d7-997a-047f8e71f47c.pdf,Couscous
LES CREAT TAB CHOC N,1.0,2.2,2.2,,2026-02-05,Intermarché,1122e654-270b-47d7-997a-047f8e71f47c.pdf,Chocolat noir 85%
PAT VEG BOISSON AMAN,1.0,2.14,2.14,,2026-02-05,Intermarché,1122e654-270b-47d7-997a-047f8e71f47c.pdf,Lait d'amande
PAT VEG BOISSON AMAN,1.0,2.14,2.14,,2026-02-05,Intermarché,1122e654-270b-47d7-997a-047f8e71f47c.pdf,Lait d'amande
PAT FROMAGE BLANC 3.,1.0,2.22,2.22,,2026-02-05,Intermarché,1122e654-270b-47d7-997a-047f8e71f47c.pdf,Fromage blanc
PAT FROM FRAIS 3.6%M,1.0,1.84,1.84,,2026-02-05,Intermarché,1122e654-270b-47d7-997a-047f8e71f47c.pdf,Fromage frais
PAT FROMAGE BLANC 3.,1.0,2.22,2.22,,2026-02-05,Intermarché,1122e654-270b-47d7-997a-047f8e71f47c.pdf,Fromage blanc
AVOCAT AFFINE GROS C,1.0,1.59,1.59,,2026-02-05,Intermarché,1122e654-270b-47d7-997a-047f8e71f47c.pdf,Avocat
AVOCAT AFFINE GROS C,1.0,1.59,1.59,,2026-02-05,Intermarché,1122e654-270b-47d7-997a-047f8e71f47c.pdf,Avocat
PAT VEG BOISSON AMAN,1.0,2.14,2.14,,2026-02-05,Intermarché,1122e654-270b-47d7-997a-047f8e71f47c.pdf,Lait d'amande
LA BOUL TOASTLIGNE C,1.0,1.64,1.64,,2026-01-25,Intermarché,29b1acf1-ff20-4282-be6f-45c09347091a.pdf,Pain de mie complet
LA BOUL TOASTLIGNE C,1.0,1.64,1.64,,2026-01-25,Intermarché,29b1acf1-ff20-4282-be6f-45c09347091a.pdf,Pain de mie complet
POMME GOLDEN 6 FRUIT,1.0,2.59,2.59,,2026-01-25,Intermarché,29b1acf1-ff20-4282-be6f-45c09347091a.pdf,Pomme
6 OEUFS PLEIN AIR-CA,1.0,2.26,2.26,,2026-01-25,Intermarché,29b1acf1-ff20-4282-be6f-45c09347091a.pdf,Œufs x6
IDS HOUMOUS 180GR,1.0,1.7,1.7,,2026-01-25,Intermarché,29b1acf1-ff20-4282-be6f-45c09347091a.pdf,Houmous
6 OEUFS PLEIN AIR-CA,1.0,2.26,2.26,,2026-01-25,Intermarché,29b1acf1-ff20-4282-be6f-45c09347091a.pdf,Œufs x6
PAT FROM FRAIS 3.6%M,1.0,1.86,1.86,,2026-01-25,Intermarché,29b1acf1-ff20-4282-be6f-45c09347091a.pdf,Fromage frais
AVOCAT AFFINE GROS C,1.0,1.39,1.39,,2026-01-25,Intermarché,29b1acf1-ff20-4282-be6f-45c09347091a.pdf,Avocat
AVOCAT AFFINE GROS C,1.0,1.39,1.39,,2026-01-25,Intermarché,29b1acf1-ff20-4282-be6f-45c09347091a.pdf,Avocat
AVOCAT AFFINE GROS C,1.0,1.39,1.39,,2026-01-25,Intermarché,29b1acf1-ff20-4282-be6f-45c09347091a.pdf,Avocat
AVOCAT AFFINE GROS C,1.0,1.39,1.39,,2026-01-25,Intermarché,29b1acf1-ff20-4282-be6f-45c09347091a.pdf,Avocat
VICO CURLY DONUTS 10,1.0,1.2,1.2,,2025-07-11,Intermarché,2d6eeb8a-afdc-41cc-a489-3b62770a5ae1.pdf,Chips / snacks
SCHWEPPES GINGER BEE,1.0,1.92,1.92,,2025-07-11,Intermarché,2d6eeb8a-afdc-41cc-a489-3b62770a5ae1.pdf,Ginger beer
VDF CUVEE DES PRINCE,1.0,5.95,5.95,,2025-07-11,Intermarché,2d6eeb8a-afdc-41cc-a489-3b62770a5ae1.pdf,Vin
CONCOMBRE PIECE,1.0,1.89,1.89,,2025-07-11,Intermarché,2d6eeb8a-afdc-41cc-a489-3b62770a5ae1.pdf,Concombre
FARINES DES POIS DE,1.0,2.88,2.88,,2025-07-11,Intermarché,2d6eeb8a-afdc-41cc-a489-3b62770a5ae1.pdf,Farine de pois
ODYSSEE THON PECHE C,1.0,1.76,1.76,,2025-07-11,Intermarché,2d6eeb8a-afdc-41cc-a489-3b62770a5ae1.pdf,Thon (boîte)
DUCROS ANETH 13G,1.0,1.99,1.99,,2025-07-11,Intermarché,2d6eeb8a-afdc-41cc-a489-3b62770a5ae1.pdf,Aneth
CHAB FARINE SEMICOMP,1.0,1.52,1.52,,2025-07-11,Intermarché,2d6eeb8a-afdc-41cc-a489-3b62770a5ae1.pdf,Farine complète
"0,660 kg X 2,49EURO/kg",1.0,1.64,1.64,,2025-07-11,Intermarché,2d6eeb8a-afdc-41cc-a489-3b62770a5ae1.pdf,Vrac (vente au poids)
MELON PIECE,1.0,2.89,2.89,,2025-07-11,Intermarché,2d6eeb8a-afdc-41cc-a489-3b62770a5ae1.pdf,Melon
"0,775 kg X 3,49EURO/kg",1.0,2.7,2.7,,2025-07-11,Intermarché,2d6eeb8a-afdc-41cc-a489-3b62770a5ae1.pdf,Vrac (vente au poids)
SOJASUN NATURE UHT B,1.0,1.69,1.69,,2025-07-11,Intermarché,2d6eeb8a-afdc-41cc-a489-3b62770a5ae1.pdf,Boisson soja
BJORG BOIS.AMANDE 1L,1.0,2.62,2.62,,2025-09-30,Intermarché,389c4f98-46e5-4ffe-954d-738b736b9761.pdf,Lait d'amande
BJORG BOIS.AMANDE 1L,1.0,2.62,2.62,,2025-09-30,Intermarché,389c4f98-46e5-4ffe-954d-738b736b9761.pdf,Lait d'amande
LES CREA CHOC.NOIR 8,1.0,1.71,1.71,,2025-09-30,Intermarché,389c4f98-46e5-4ffe-954d-738b736b9761.pdf,Chocolat noir 85%
LES CREA CHOC.NOIR 8,1.0,1.71,1.71,,2025-09-30,Intermarché,389c4f98-46e5-4ffe-954d-738b736b9761.pdf,Chocolat noir 85%
SED ENCORNET GEANT C,1.0,6.99,6.99,,2025-09-30,Intermarché,389c4f98-46e5-4ffe-954d-738b736b9761.pdf,Encornet
PAT FROM FRAIS 3.6%M,1.0,1.62,1.62,,2025-09-30,Intermarché,389c4f98-46e5-4ffe-954d-738b736b9761.pdf,Fromage frais
SUNNYBIO SIROP AGAVE,1.0,5.42,5.42,,2025-09-30,Intermarché,389c4f98-46e5-4ffe-954d-738b736b9761.pdf,Sirop d'agave
ATELIER BLINI HOUMOU,1.0,2.8,2.8,,2025-09-30,Intermarché,389c4f98-46e5-4ffe-954d-738b736b9761.pdf,Houmous
ATELIER BLINI HOUMOU,1.0,2.8,2.8,,2025-09-30,Intermarché,389c4f98-46e5-4ffe-954d-738b736b9761.pdf,Houmous
SED ENCORNET GEANT C,1.0,6.99,6.99,,2025-09-30,Intermarché,389c4f98-46e5-4ffe-954d-738b736b9761.pdf,Encornet
PATURAGES MOZZARELLA,1.0,2.76,2.76,,2025-09-30,Intermarché,389c4f98-46e5-4ffe-954d-738b736b9761.pdf,Mozzarella
12 OEUFS BIO - CAL M,1.0,6.37,6.37,,2025-09-30,Intermarché,389c4f98-46e5-4ffe-954d-738b736b9761.pdf,Œufs x12
"5 X 1,59 EUR",1.0,7.95,7.95,,2025-09-30,Intermarché,389c4f98-46e5-4ffe-954d-738b736b9761.pdf,"5 X 1,59 EUR"
12 OEUFS BIO - CAL M,1.0,6.37,6.37,,2025-09-30,Intermarché,389c4f98-46e5-4ffe-954d-738b736b9761.pdf,Œufs x12
"1,095 kg X 1,99EURO/kg",1.0,2.18,2.18,,2025-09-30,Intermarché,389c4f98-46e5-4ffe-954d-738b736b9761.pdf,Vrac (vente au poids)
OEUF NICEUF PAIR,1.0,2.98,2.98,,2025-07-26,Intermarché,43a1816a-27ac-4d8b-b4ab-d6751293779f.pdf,Œufs
"0,460 kg X 4,29EURO/kg",1.0,1.97,1.97,,2025-07-26,Intermarché,43a1816a-27ac-4d8b-b4ab-d6751293779f.pdf,Vrac (vente au poids)
PAQUI GOURD MULT VAR,1.0,6.3,6.3,,2025-08-19,Intermarché,4515e168-101d-4e94-8b53-b63497c9d32c.pdf,Gourde de fruits
PAT FROMAGE BLANC 3.,1.0,1.92,1.92,,2025-08-19,Intermarché,4515e168-101d-4e94-8b53-b63497c9d32c.pdf,Fromage blanc
PAT FROMAGE BLANC 3.,1.0,1.92,1.92,,2025-08-19,Intermarché,4515e168-101d-4e94-8b53-b63497c9d32c.pdf,Fromage blanc
BJORG BOIS.AMANDE S/,1.0,1.93,1.93,,2025-08-19,Intermarché,4515e168-101d-4e94-8b53-b63497c9d32c.pdf,Lait d'amande
"1,015 kg X 3,79EURO/kg",1.0,3.85,3.85,,2025-08-19,Intermarché,4515e168-101d-4e94-8b53-b63497c9d32c.pdf,Vrac (vente au poids)
BANANES 5 FRUITS,1.0,2.8,2.8,,2025-08-19,Intermarché,4515e168-101d-4e94-8b53-b63497c9d32c.pdf,Banane
LINDT EXCELLENCE NOI,1.0,2.45,2.45,,2025-08-19,Intermarché,4515e168-101d-4e94-8b53-b63497c9d32c.pdf,Chocolat Lindt
LINDT EXCELLENCE NOI,1.0,2.45,2.45,,2025-08-19,Intermarché,4515e168-101d-4e94-8b53-b63497c9d32c.pdf,Chocolat Lindt
6 OEUFS BIO - CAL. M,1.0,3.32,3.32,,2025-08-19,Intermarché,4515e168-101d-4e94-8b53-b63497c9d32c.pdf,Œufs x6
BJORG TOFU NATURE 2X,1.0,3.24,3.24,,2025-08-19,Intermarché,4515e168-101d-4e94-8b53-b63497c9d32c.pdf,Tofu x2
BJORG TOFU NATURE 2X,1.0,3.24,3.24,,2025-08-19,Intermarché,4515e168-101d-4e94-8b53-b63497c9d32c.pdf,Tofu x2
REGAIN SIROP AGAVE B,1.0,2.54,2.54,,2025-08-19,Intermarché,4515e168-101d-4e94-8b53-b63497c9d32c.pdf,Sirop d'agave
REGAIN TOAST 4 CERE.,1.0,1.59,1.59,,2025-08-19,Intermarché,4515e168-101d-4e94-8b53-b63497c9d32c.pdf,Toast céréales
FLOR.GRIS.ARTIG.MULT,1.0,2.52,2.52,,2025-09-01,Intermarché,50ebd078-64b9-4f30-a7bf-575d1e6d2524.pdf,Artichaut
DEB FUET PUR PORC140,1.0,3.45,3.45,,2025-09-01,Intermarché,50ebd078-64b9-4f30-a7bf-575d1e6d2524.pdf,Fuet (charcuterie)
PTITE BTL D'EAU/CAN.,1.0,1.0,1.0,,2025-09-01,Intermarché,50ebd078-64b9-4f30-a7bf-575d1e6d2524.pdf,Eau (petite bouteille)
IDS JAMBON SPECK 9T,1.0,2.74,2.74,,2025-09-01,Intermarché,50ebd078-64b9-4f30-a7bf-575d1e6d2524.pdf,Jambon Speck
GALBANI BURRATA 150G,1.0,4.0,4.0,,2025-09-01,Intermarché,50ebd078-64b9-4f30-a7bf-575d1e6d2524.pdf,Burrata
CHIPS BRETS BEURRE S,1.0,2.35,2.35,,2025-09-01,Intermarché,50ebd078-64b9-4f30-a7bf-575d1e6d2524.pdf,Chips / snacks
NUII4BAT SALTED CARA,1.0,4.82,4.82,,2025-09-01,Intermarché,50ebd078-64b9-4f30-a7bf-575d1e6d2524.pdf,Barre chocolatée
LES CREA BURRATA BAS,1.0,2.79,2.79,,2025-09-01,Intermarché,50ebd078-64b9-4f30-a7bf-575d1e6d2524.pdf,Burrata
PAT FROMAGE BLANC 3.,1.0,1.92,1.92,,2025-09-12,Intermarché,594633b1-925c-4efd-9d82-b7ab4d6ad252.pdf,Fromage blanc
TIPIAK COUSCOUS EP.M,1.0,2.25,2.25,,2025-09-12,Intermarché,594633b1-925c-4efd-9d82-b7ab4d6ad252.pdf,Couscous
BJORG BOIS.AMANDE S/,1.0,1.77,1.77,,2025-09-12,Intermarché,594633b1-925c-4efd-9d82-b7ab4d6ad252.pdf,Lait d'amande
BJORG BOIS.AMANDE S/,1.0,1.77,1.77,,2025-09-12,Intermarché,594633b1-925c-4efd-9d82-b7ab4d6ad252.pdf,Lait d'amande
BJORG TOFU NATURE 2X,1.0,3.24,3.24,,2025-09-12,Intermarché,594633b1-925c-4efd-9d82-b7ab4d6ad252.pdf,Tofu x2
PAT FROMAGE BLANC 3.,1.0,1.92,1.92,,2025-09-12,Intermarché,594633b1-925c-4efd-9d82-b7ab4d6ad252.pdf,Fromage blanc
SIROP D'AGAVE BIO 35,1.0,4.64,4.64,,2025-09-12,Intermarché,594633b1-925c-4efd-9d82-b7ab4d6ad252.pdf,Sirop d'agave
PAT FROM FRAIS 3.6%M,1.0,1.62,1.62,,2025-09-12,Intermarché,594633b1-925c-4efd-9d82-b7ab4d6ad252.pdf,Fromage frais
CN ESPR PUISS.N11 CA,1.0,9.85,9.85,,2025-09-12,Intermarché,594633b1-925c-4efd-9d82-b7ab4d6ad252.pdf,Capsules café
10 OEUFS BIO PACA PL,1.0,5.89,5.89,,2025-09-12,Intermarché,594633b1-925c-4efd-9d82-b7ab4d6ad252.pdf,Œufs x10
LES CREA CHOC.NOIR 8,1.0,1.71,1.71,,2025-09-12,Intermarché,594633b1-925c-4efd-9d82-b7ab4d6ad252.pdf,Chocolat noir 85%
LES CREA CHOC.NOIR 8,1.0,1.71,1.71,,2025-09-12,Intermarché,594633b1-925c-4efd-9d82-b7ab4d6ad252.pdf,Chocolat noir 85%
LES CREA CHOC.NOIR 8,1.0,1.71,1.71,,2025-09-12,Intermarché,594633b1-925c-4efd-9d82-b7ab4d6ad252.pdf,Chocolat noir 85%
PATURAGES MOZZARELLA,1.0,0.93,0.93,,2025-09-12,Intermarché,594633b1-925c-4efd-9d82-b7ab4d6ad252.pdf,Mozzarella
ALSA LEV.CHIM.ALSAC.,1.0,0.69,0.69,,2025-09-12,Intermarché,594633b1-925c-4efd-9d82-b7ab4d6ad252.pdf,Levure chimique
PATURAGES MOZZARELLA,1.0,0.93,0.93,,2025-09-12,Intermarché,594633b1-925c-4efd-9d82-b7ab4d6ad252.pdf,Mozzarella
"1,450 kg X 2,89EURO/kg",1.0,4.19,4.19,,2025-09-12,Intermarché,594633b1-925c-4efd-9d82-b7ab4d6ad252.pdf,Vrac (vente au poids)
"0,240 kg X 4,59EURO/kg",1.0,1.1,1.1,,2026-03-07,Intermarché,5bc1c8e7-828a-4525-8602-10366ac44c1e.pdf,Vrac (vente au poids)
ST ELOI CHOU ROUGE 2,1.0,1.44,1.44,,2026-03-07,Intermarché,5bc1c8e7-828a-4525-8602-10366ac44c1e.pdf,Chou rouge
"0,110 kg X 5,89EURO/kg",1.0,0.65,0.65,,2026-03-07,Intermarché,5bc1c8e7-828a-4525-8602-10366ac44c1e.pdf,Vrac (vente au poids)
"0,330 kg X 3,79EURO/kg",1.0,1.25,1.25,,2026-03-07,Intermarché,5bc1c8e7-828a-4525-8602-10366ac44c1e.pdf,Vrac (vente au poids)
"0,335 kg X 3,29EURO/kg",1.0,1.1,1.1,,2026-03-07,Intermarché,5bc1c8e7-828a-4525-8602-10366ac44c1e.pdf,Vrac (vente au poids)
ST ELOI MACHE SACHET,1.0,1.06,1.06,,2026-03-07,Intermarché,5bc1c8e7-828a-4525-8602-10366ac44c1e.pdf,Mâche
6 OEUFS LABEL ROUGE,1.0,2.64,2.64,,2026-03-07,Intermarché,5bc1c8e7-828a-4525-8602-10366ac44c1e.pdf,Œufs x6
6 OEUFS LABEL ROUGE,1.0,2.64,2.64,,2026-03-07,Intermarché,5bc1c8e7-828a-4525-8602-10366ac44c1e.pdf,Œufs x6
6 OEUFS LABEL ROUGE,1.0,2.64,2.64,,2026-03-07,Intermarché,5bc1c8e7-828a-4525-8602-10366ac44c1e.pdf,Œufs x6
FREED.MENTHE VERTEX5,1.0,2.65,2.65,,2026-03-07,Intermarché,5bc1c8e7-828a-4525-8602-10366ac44c1e.pdf,Chewing-gum
6 OEUFS LABEL ROUGE,1.0,2.64,2.64,,2026-03-07,Intermarché,5bc1c8e7-828a-4525-8602-10366ac44c1e.pdf,Œufs x6
PAQUITO GOURDE SSA P,1.0,5.7,5.7,,2025-12-06,Intermarché,60e5a2a2-4da2-4be3-9409-3e4db2e6cddc.pdf,Gourde de fruits
Papier Cadeau Feerie,1.0,4.0,4.0,,2025-12-06,Intermarché,60e5a2a2-4da2-4be3-9409-3e4db2e6cddc.pdf,Papier Cadeau Feerie
AVOCAT AFFINE GROS C,1.0,0.89,0.89,,2025-12-06,Intermarché,60e5a2a2-4da2-4be3-9409-3e4db2e6cddc.pdf,Avocat
AVOCAT AFFINE GROS C,1.0,0.89,0.89,,2025-12-06,Intermarché,60e5a2a2-4da2-4be3-9409-3e4db2e6cddc.pdf,Avocat
LES CREAT TAB CHOC N,1.0,2.17,2.17,,2025-12-06,Intermarché,60e5a2a2-4da2-4be3-9409-3e4db2e6cddc.pdf,Chocolat noir 85%
LES CREAT TAB CHOC N,1.0,2.17,2.17,,2025-12-06,Intermarché,60e5a2a2-4da2-4be3-9409-3e4db2e6cddc.pdf,Chocolat noir 85%
PAT FROM FRAIS 3.6%M,1.0,1.84,1.84,,2025-12-06,Intermarché,60e5a2a2-4da2-4be3-9409-3e4db2e6cddc.pdf,Fromage frais
PAT FROM FRAIS 3.6%M,1.0,1.84,1.84,,2025-12-06,Intermarché,60e5a2a2-4da2-4be3-9409-3e4db2e6cddc.pdf,Fromage frais
PAT FROMAGE BLANC 3.,1.0,2.23,2.23,,2025-12-06,Intermarché,60e5a2a2-4da2-4be3-9409-3e4db2e6cddc.pdf,Fromage blanc
PAT FROMAGE BLANC 3.,1.0,2.23,2.23,,2025-12-06,Intermarché,60e5a2a2-4da2-4be3-9409-3e4db2e6cddc.pdf,Fromage blanc
TOURTEL PECHE S/ALC.,1.0,3.11,3.11,,2025-07-14,Intermarché,7bfd9d6d-c1df-4d31-b5ba-9e3376d0e2dd.pdf,Pêche
"0,705 kg X 3,99EURO/kg",1.0,2.81,2.81,,2025-07-14,Intermarché,7bfd9d6d-c1df-4d31-b5ba-9e3376d0e2dd.pdf,Vrac (vente au poids)
TOMATE CERISE BARQUE,1.0,1.99,1.99,,2025-07-14,Intermarché,7bfd9d6d-c1df-4d31-b5ba-9e3376d0e2dd.pdf,Tomates cerises
VOLAE 6 OEUFS PA G B,1.0,1.5,1.5,,2025-07-14,Intermarché,7bfd9d6d-c1df-4d31-b5ba-9e3376d0e2dd.pdf,Œufs x6
ST ELOI POIS CHICHE,1.0,0.75,0.75,,2025-07-14,Intermarché,7bfd9d6d-c1df-4d31-b5ba-9e3376d0e2dd.pdf,Pois chiches
PAQUITO EAU DE COCO,1.0,3.09,3.09,,2025-07-14,Intermarché,7bfd9d6d-c1df-4d31-b5ba-9e3376d0e2dd.pdf,Eau de coco
IDS HOUMOUS 180GR,1.0,1.7,1.7,,2026-01-19,Intermarché,80349889-00dc-4742-928a-76164646df1b.pdf,Houmous
OEUF NICEUF PAIR,1.0,2.98,2.98,,2026-01-19,Intermarché,80349889-00dc-4742-928a-76164646df1b.pdf,Œufs
"0,300 kg X 1,69EURO/kg",1.0,0.51,0.51,,2026-01-19,Intermarché,80349889-00dc-4742-928a-76164646df1b.pdf,Vrac (vente au poids)
AIRWAVES MENTHL EUCA,1.0,0.96,0.96,,2026-01-19,Intermarché,80349889-00dc-4742-928a-76164646df1b.pdf,Chewing-gum
"0,225 kg X 3,65EURO/kg",1.0,0.82,0.82,,2026-01-19,Intermarché,80349889-00dc-4742-928a-76164646df1b.pdf,Vrac (vente au poids)
MERCI SALADE MACHE 1,1.0,1.39,1.39,,2026-01-19,Intermarché,80349889-00dc-4742-928a-76164646df1b.pdf,Mâche
CN ESPR CLASS N7 CAP,1.0,9.9,9.9,,2025-08-05,Intermarché,803bd6d5-ceca-490e-9dee-71b4d0381e14.pdf,Capsules café
PUREE DE SESAME BLAN,1.0,5.78,5.78,,2025-08-05,Intermarché,803bd6d5-ceca-490e-9dee-71b4d0381e14.pdf,Tahini
APTA SAC POUB LC 20X,1.0,2.39,2.39,,2025-08-05,Intermarché,803bd6d5-ceca-490e-9dee-71b4d0381e14.pdf,Sacs poubelle
TIPIAK COUSCOUS EP.M,1.0,2.25,2.25,,2025-08-05,Intermarché,803bd6d5-ceca-490e-9dee-71b4d0381e14.pdf,Couscous
ST ELOI RIZ BASMATI,1.0,2.91,2.91,,2025-08-05,Intermarché,803bd6d5-ceca-490e-9dee-71b4d0381e14.pdf,Riz basmati
KARA LAIT DE COCO 20,1.0,1.13,1.13,,2025-08-05,Intermarché,803bd6d5-ceca-490e-9dee-71b4d0381e14.pdf,Lait de coco
HUILE DE COCO,1.0,4.71,4.71,,2025-08-05,Intermarché,803bd6d5-ceca-490e-9dee-71b4d0381e14.pdf,Huile de coco
BANANES 5 FRUITS,1.0,2.8,2.8,,2025-08-05,Intermarché,803bd6d5-ceca-490e-9dee-71b4d0381e14.pdf,Banane
ATELIER BLINI HOUMOU,1.0,2.8,2.8,,2025-08-05,Intermarché,803bd6d5-ceca-490e-9dee-71b4d0381e14.pdf,Houmous
BJORG TOFU NATURE 2X,1.0,3.24,3.24,,2025-08-05,Intermarché,803bd6d5-ceca-490e-9dee-71b4d0381e14.pdf,Tofu x2
TOP BUDGET FROM BLAN,1.0,1.79,1.79,,2025-08-05,Intermarché,803bd6d5-ceca-490e-9dee-71b4d0381e14.pdf,Fromage blanc
"2 X 0,99 EUR",1.0,1.98,1.98,,2025-08-05,Intermarché,803bd6d5-ceca-490e-9dee-71b4d0381e14.pdf,"2 X 0,99 EUR"
"0,580 kg X 4,79EURO/kg",1.0,2.78,2.78,,2025-08-05,Intermarché,803bd6d5-ceca-490e-9dee-71b4d0381e14.pdf,Vrac (vente au poids)
SPONTEX COMB GRATTE,1.0,1.54,1.54,,2025-08-05,Intermarché,803bd6d5-ceca-490e-9dee-71b4d0381e14.pdf,Éponges
IDS MORTADELLE 120GR,1.0,2.3,2.3,,2025-08-05,Intermarché,803bd6d5-ceca-490e-9dee-71b4d0381e14.pdf,Mortadelle
IDS JAMBON SPECK 9T,1.0,2.74,2.74,,2025-08-05,Intermarché,803bd6d5-ceca-490e-9dee-71b4d0381e14.pdf,Jambon Speck
TOP BUDGET TRUITE FU,1.0,2.49,2.49,,2025-08-05,Intermarché,803bd6d5-ceca-490e-9dee-71b4d0381e14.pdf,Truite fumée
PATURAGES MOZZARELLA,1.0,0.93,0.93,,2025-08-05,Intermarché,803bd6d5-ceca-490e-9dee-71b4d0381e14.pdf,Mozzarella
PATURAGES MOZZARELLA,1.0,0.93,0.93,,2025-08-05,Intermarché,803bd6d5-ceca-490e-9dee-71b4d0381e14.pdf,Mozzarella
PAQUITO GOURDE SSA P,1.0,5.7,5.7,,2025-11-14,Intermarché,9abff789-7aa9-4e49-96d5-9b050b69c651.pdf,Gourde de fruits
LA BOUL TOASTLIGNE C,1.0,1.65,1.65,,2025-11-14,Intermarché,9abff789-7aa9-4e49-96d5-9b050b69c651.pdf,Pain de mie complet
PAT SUISSE NAT 9.2%M,1.0,2.09,2.09,,2025-11-14,Intermarché,9abff789-7aa9-4e49-96d5-9b050b69c651.pdf,Petit-suisse nature
IDS 8 TORTILLAS MAIS,1.0,1.96,1.96,,2025-11-14,Intermarché,9abff789-7aa9-4e49-96d5-9b050b69c651.pdf,Tortillas maïs
OEUF NICEUF PAIR,1.0,2.98,2.98,,2025-11-14,Intermarché,9abff789-7aa9-4e49-96d5-9b050b69c651.pdf,Œufs
OEUF NICEUF PAIR,1.0,2.98,2.98,,2025-11-14,Intermarché,9abff789-7aa9-4e49-96d5-9b050b69c651.pdf,Œufs
OEUF NICEUF PAIR,1.0,2.98,2.98,,2025-11-14,Intermarché,9abff789-7aa9-4e49-96d5-9b050b69c651.pdf,Œufs
PARMENTIER SARD CIT,1.0,2.05,2.05,,2025-11-14,Intermarché,9abff789-7aa9-4e49-96d5-9b050b69c651.pdf,Parmentier de sardines
IDS HOUMOUS 180GR,1.0,1.67,1.67,,2025-11-14,Intermarché,9abff789-7aa9-4e49-96d5-9b050b69c651.pdf,Houmous
FRUITS ET LEGUMES,1.0,2.29,2.29,,2025-11-14,Intermarché,9abff789-7aa9-4e49-96d5-9b050b69c651.pdf,Fruits et légumes
"0,850 kg X 2,29EURO/kg",1.0,1.95,1.95,,2025-11-14,Intermarché,9abff789-7aa9-4e49-96d5-9b050b69c651.pdf,Vrac (vente au poids)
POMME GALA 6 FRUITS,1.0,2.59,2.59,,2025-12-29,Intermarché,9b9f51e3-70e0-4b58-8f86-d65fac294226.pdf,Pomme
TIPIAK COUSCOUS EP.M,1.0,2.31,2.31,,2025-12-29,Intermarché,9b9f51e3-70e0-4b58-8f86-d65fac294226.pdf,Couscous
TIPIAK COUSCOUS EP.M,1.0,2.31,2.31,,2025-12-29,Intermarché,9b9f51e3-70e0-4b58-8f86-d65fac294226.pdf,Couscous
LA BOUL TOASTLIGNE C,1.0,1.65,1.65,,2025-12-29,Intermarché,9b9f51e3-70e0-4b58-8f86-d65fac294226.pdf,Pain de mie complet
ODYSSEE MAQX MOUTARD,1.0,1.88,1.88,,2025-12-29,Intermarché,9b9f51e3-70e0-4b58-8f86-d65fac294226.pdf,Maquereau (boîte)
ODYSSEE MAQX TOMATE,1.0,1.66,1.66,,2025-12-29,Intermarché,9b9f51e3-70e0-4b58-8f86-d65fac294226.pdf,Maquereau (boîte)
ODYSSEE MAQX MUSCADE,1.0,1.6,1.6,,2025-12-29,Intermarché,9b9f51e3-70e0-4b58-8f86-d65fac294226.pdf,Maquereau (boîte)
ODYSSEE MAQX MOUTARD,1.0,1.88,1.88,,2025-12-29,Intermarché,9b9f51e3-70e0-4b58-8f86-d65fac294226.pdf,Maquereau (boîte)
PAT FROMAGE BLANC 3.,1.0,2.23,2.23,,2025-12-29,Intermarché,9b9f51e3-70e0-4b58-8f86-d65fac294226.pdf,Fromage blanc
PAT FROM FRAIS 3.6%M,1.0,1.86,1.86,,2025-12-29,Intermarché,9b9f51e3-70e0-4b58-8f86-d65fac294226.pdf,Fromage frais
LINDT EXCELLENCE NOI,1.0,2.45,2.45,,2025-12-29,Intermarché,9b9f51e3-70e0-4b58-8f86-d65fac294226.pdf,Chocolat Lindt
LINDT EXCELLENCE NOI,1.0,2.45,2.45,,2025-12-29,Intermarché,9b9f51e3-70e0-4b58-8f86-d65fac294226.pdf,Chocolat Lindt
